Name;Date;Fraktion;Policy_area_1;Policy_area_2;Policy_area_3;Policy_area_4;Policy_area_5;Policy_area_6;Policy_area_7;Yes_party;No_party;Abstain_party;Absent_party;Yes_share;Party_yes;Opposition;Gov_votes;Gov_Yes;Date_new;Week;Month;Quarter;Year;Corona;Corona_dur
 Änderung des Parteiengesetzes (PartG);15. Juni 2018;AfD;Öffentliche Finanzen; Steuern und Abgaben; Politisches Leben; Parteien;NA;NA;NA;  0; 79;  0;11;0,00000000; 0;TRUE;2;1;2018-06-15;24; 6;2;2018;0;-625
 Änderung des Parteiengesetzes (PartG);15. Juni 2018;CDU/CSU;Öffentliche Finanzen; Steuern und Abgaben; Politisches Leben; Parteien;NA;NA;NA;229;  1;  0;13;0,99565217; 1;FALSE;2;1;2018-06-15;24; 6;2;2018;0;-625
 Änderung des Parteiengesetzes (PartG);15. Juni 2018;DIE GRÜNEN;Öffentliche Finanzen; Steuern und Abgaben; Politisches Leben; Parteien;NA;NA;NA;  0; 63;  0; 4;0,00000000; 0;TRUE;2;1;2018-06-15;24; 6;2;2018;0;-625
 Änderung des Parteiengesetzes (PartG);15. Juni 2018;DIE LINKE;Öffentliche Finanzen; Steuern und Abgaben; Politisches Leben; Parteien;NA;NA;NA;  0; 62;  0; 6;0,00000000; 0;TRUE;2;1;2018-06-15;24; 6;2;2018;0;-625
 Änderung des Parteiengesetzes (PartG);15. Juni 2018;FDP;Öffentliche Finanzen; Steuern und Abgaben; Politisches Leben; Parteien;NA;NA;NA;  0; 75;  0; 5;0,00000000; 0;TRUE;2;1;2018-06-15;24; 6;2;2018;0;-625
 Änderung des Parteiengesetzes (PartG);15. Juni 2018;fraktionslos;Öffentliche Finanzen; Steuern und Abgaben; Politisches Leben; Parteien;NA;NA;NA;  0;  2;  0; 0;0,00000000; 0;TRUE;2;1;2018-06-15;24; 6;2;2018;0;-625
 Änderung des Parteiengesetzes (PartG);15. Juni 2018;SPD;Öffentliche Finanzen; Steuern und Abgaben; Politisches Leben; Parteien;NA;NA;NA;142;  0;  0;10;1,00000000; 1;FALSE;2;1;2018-06-15;24; 6;2;2018;0;-625
 Verlängerung des Bundeswehreinsatzes im Mittelmeer (EUNAVFOR MED) (2018);14. Juni 2018;AfD;Verteidigung;NA;NA;NA;NA;NA;NA;  0;160;  0;20;0,00000000; 0;TRUE;2;1;2018-06-14;24; 6;2;2018;0;-626
 Verlängerung des Bundeswehreinsatzes im Mittelmeer (EUNAVFOR MED) (2018);14. Juni 2018;CDU/CSU;Verteidigung;NA;NA;NA;NA;NA;NA;460;  0;  0;32;1,00000000; 1;FALSE;2;1;2018-06-14;24; 6;2;2018;0;-626
 Verlängerung des Bundeswehreinsatzes im Mittelmeer (EUNAVFOR MED) (2018);14. Juni 2018;SPD;Verteidigung;NA;NA;NA;NA;NA;NA;284;  6;  0;16;0,97931034; 1;FALSE;2;1;2018-06-14;24; 6;2;2018;0;-626
 Verlängerung des Bundeswehreinsatzes im Mittelmeer (EUNAVFOR MED) (2018);14. Juni 2018;DIE GRÜNEN;Verteidigung;NA;NA;NA;NA;NA;NA;  0;122;  0; 8;0,00000000; 0;TRUE;2;1;2018-06-14;24; 6;2;2018;0;-626
 Verlängerung des Bundeswehreinsatzes im Mittelmeer (EUNAVFOR MED) (2018);14. Juni 2018;DIE LINKE;Verteidigung;NA;NA;NA;NA;NA;NA;  0;122;  0;14;0,00000000; 0;TRUE;2;1;2018-06-14;24; 6;2;2018;0;-626
 Verlängerung des Bundeswehreinsatzes im Mittelmeer (EUNAVFOR MED) (2018);14. Juni 2018;FDP;Verteidigung;NA;NA;NA;NA;NA;NA;146;  0;  0;14;1,00000000; 1;TRUE;2;1;2018-06-14;24; 6;2;2018;0;-626
 Verlängerung des Bundeswehreinsatzes in Mali (EUTM) (2018/2019);26. April 2018;CDU/CSU;Verteidigung;NA;NA;NA;NA;NA;NA;224;  0;  0;22;1,00000000; 1;FALSE;2;1;2018-04-26;17; 4;2;2018;0;-675
 Verlängerung des Bundeswehreinsatzes in Mali (EUTM) (2018/2019);26. April 2018;fraktionslos;Verteidigung;NA;NA;NA;NA;NA;NA;  0;  2;  0; 0;0,00000000; 0;TRUE;2;1;2018-04-26;17; 4;2;2018;0;-675
 Verlängerung des Bundeswehreinsatzes in Mali (EUTM) (2018/2019);26. April 2018;DIE GRÜNEN;Verteidigung;NA;NA;NA;NA;NA;NA; 58;  2;  0; 5;0,96666667; 1;TRUE;2;1;2018-04-26;17; 4;2;2018;0;-675
 Verlängerung des Bundeswehreinsatzes in Mali (EUTM) (2018/2019);26. April 2018;DIE LINKE;Verteidigung;NA;NA;NA;NA;NA;NA;  0; 52;  0;13;0,00000000; 0;TRUE;2;1;2018-04-26;17; 4;2;2018;0;-675
